model,feature,mean_abs_shap,rank
stageH_no_acuity [is_admitted],news2_score,0.49447295160542204,1
stageH_no_acuity [is_admitted],pain_score,0.26048279411457304,2
stageH_no_acuity [is_admitted],gcs_total,0.2223559165148749,3
stageH_no_acuity [is_admitted],respiratory_rate,0.1648121116218457,4
stageH_no_acuity [is_admitted],temperature_c,0.14428360092885453,5
stageH_no_acuity [is_admitted],spo2,0.13836757207809702,6
stageH_no_acuity [is_admitted],mental_status_triage,0.12799471390670092,7
stageH_no_acuity [is_admitted],num_prior_ed_visits_12m,0.09912801701739332,8
stageH_no_acuity [is_admitted],heart_rate,0.04979123152925592,9
stageH_no_acuity [is_admitted],mean_arterial_pressure,0.03615382153870109,10
stageH_no_acuity [is_admitted],diastolic_bp,0.034846358364687954,11
stageH_no_acuity [is_admitted],pain_location,0.029873741568978547,12
stageH_no_acuity [is_admitted],shock_index,0.029043501954446205,13
stageH_no_acuity [is_admitted],chief_complaint_system,0.028584266067688345,14
stageH_no_acuity [is_admitted],pulse_pressure,0.02683460361336322,15
stageH_no_acuity [is_long_stay],news2_score,0.6350184507990103,1
stageH_no_acuity [is_long_stay],pain_score,0.601679067365341,2
stageH_no_acuity [is_long_stay],gcs_total,0.25614084091092987,3
stageH_no_acuity [is_long_stay],respiratory_rate,0.22133310075219692,4
stageH_no_acuity [is_long_stay],temperature_c,0.19905708424628923,5
stageH_no_acuity [is_long_stay],spo2,0.19650534674922562,6
stageH_no_acuity [is_long_stay],num_prior_ed_visits_12m,0.1797973148334393,7
stageH_no_acuity [is_long_stay],mental_status_triage,0.17230894898838603,8
stageH_no_acuity [is_long_stay],diastolic_bp,0.06204574289610153,9
stageH_no_acuity [is_long_stay],shock_index,0.05549344951201058,10
stageH_no_acuity [is_long_stay],heart_rate,0.05366695715016207,11
stageH_no_acuity [is_long_stay],systolic_bp,0.04805251898090775,12
stageH_no_acuity [is_long_stay],mean_arterial_pressure,0.0418517238187975,13
stageH_no_acuity [is_long_stay],chief_complaint_system,0.03172895623904741,14
stageH_no_acuity [is_long_stay],pulse_pressure,0.021206336873793172,15
