target,acuity,n,mean_pred_risk,observed_rate
is_admitted,3,1209,0.272,0.4797
is_admitted,3,1819,0.4304,0.4546
is_admitted,3,1549,0.4541,0.4519
is_admitted,3,497,0.4561,0.4608
is_admitted,3,755,0.5013,0.4464
is_admitted,4,1033,0.0791,0.1355
is_admitted,4,1112,0.1282,0.1313
is_admitted,4,773,0.1628,0.1061
is_admitted,4,690,0.2026,0.1348
is_admitted,4,897,0.33,0.1427
is_long_stay,3,1213,0.2418,0.507
is_long_stay,3,1121,0.4405,0.4764
is_long_stay,3,2850,0.4866,0.5018
is_long_stay,3,645,0.555,0.5163
is_long_stay,4,1658,0.0162,0.0241
is_long_stay,4,353,0.0278,0.0255
is_long_stay,4,765,0.0545,0.0288
is_long_stay,4,834,0.1197,0.0192
is_long_stay,4,895,0.3159,0.0179
